taskID  subjectID  prediction   mu     numLeft    numRight  signal  reactionTime
T478b        9        50        40        70        80        blue        38
T583r        9        72        50        80        30        red        223
T374b        9        17        30        70        40        blue        53
T846b        9        86        80        40        60        blue        62
T627r        9        30        60        20        70        red        62
T561b        9        30        50        60        10        blue        51
T167r        9        9        10        60        70        red        54
T869r        9        72        80        60        90        red        53
T265r        9        23        20        60        50        red        56
T428r        9        14        40        20        80        red        48
T692r        9        87        60        90        20        red        60
T735b        9        87        70        30        50        blue        9
T186b        9        5        10        80        60        blue        47
T692b        9        16        60        90        20        blue        135
T843b        9        77        80        40        30        blue        49
T526r        9        25        50        20        60        red        75
T784r        9        82        70        80        40        red        49
T632b        9        56        60        30        20        blue        75
T871b        9        50        80        70        10        blue        5
T865r        9        70        80        60        50        red        4
T743r        9        75        70        40        30        red        45
T632r        9        70        60        30        20        red        55
T369r        9        60        30        60        90        red        86
T865b        9        76        80        60        50        blue        65
T813r        9        80        80        10        30        red        4
T168r        9        50        10        60        80        red        5
T428b        9        50        40        20        80        blue        4
T167b        9        80        10        60        70        blue        5
T928b        9        16        90        20        80        blue        5
T627b        9        50        60        20        70        blue        5
T186r        9        13        10        80        60        red        68
T548b        9        70        50        40        80        blue        5
T179b        9        25        10        70        90        blue        45
T871r        9        97        80        70        10        red        59
T583b        9        60        50        80        30        blue        6
T743b        9        67        70        40        30        blue        49
T813b        9        60        80        10        30        blue        7
T478r        9        50        40        70        80        red        5
T843r        9        85        80        40        30        red        7
T561r        9        86        50        60        10        red        67
T695r        9        73        60        90        50        red        67
T928r        9        60        90        20        80        red        6
T784b        9        90        70        80        40        blue        3
T689r        9        40        60        80        90        red        6
T526b        9        66        50        20        60        blue        61
T128b        9        31        10        20        80        blue        114
T179r        9        50        10        70        90        red        6
T168b        9        18        10        60        80        blue        63
T369b        9        50        30        60        90        blue        4
T827b        9        70        80        20        70        blue        4
T846r        9        30        80        40        60        red        5
T827r        9        50        80        20        70        red        3
T128r        9        55        10        20        80        red        5
T869b        9        94        80        60        90        blue        42
T689b        9        75        60        80        90        blue        51
T712b        10        30        70        10        20        blue        186
T423b        10        45        40        20        30        blue        58
T537r        10        50        50        30        70        red        11
T812b        10        60        80        10        20        blue        68
T984r        10        70        90        80        40        red        29
T762b        10        15        70        60        20        blue        27
T345r        10        40        30        40        50        red        28
T278b        10        20        20        70        80        blue        6
T378b        10        35        30        70        80        blue        7
T219r        10        40        20        10        90        red        10
T245r        10        20        20        40        50        red        5
T984b        10        90        90        80        40        blue        6
T813b        10        80        80        10        30        blue        21
T423r        10        40        40        20        30        red        6
T718r        10        50        70        10        80        red        19
T712r        10        35        70        10        20        red        7
T821r        10        40        80        20        10        red        6
T278r        10        45        20        70        80        red        29
T942r        10        5        90        40        20        red        7
T416r        10        30        40        10        60        red        7
T378r        10        70        30        70        80        red        13
T593r        10        50        50        90        30        red        15
T741r        10        1        70        40        10        red        4
T813r        10        10        80        10        30        red        10
T274b        10        20        20        70        40        blue        39
T973b        10        5        90        70        30        blue        7
T537b        10        50        50        30        70        blue        6
T216r        10        20        20        10        60        red        6
T391r        10        1        30        90        10        red        11
T762r        10        5        70        60        20        red        18
T973r        10        10        90        70        30        red        6
T264b        10        10        20        60        40        blue        11
T162b        10        3        10        60        20        blue        12
